author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Rajiv Sethi,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/sethi-rajiv/,"is a professor of economics at Barnard College and an external professor at the Santa Fe Institute. He is a co-author of ""Shadows of Doubt: Stereotypes, Crime and the Pursuit of Justice.""",matched Vital City bio keywords
Rebecca Baird-Remba,1,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/baird-remba-rebecca/,is a freelance writer. She was previously a reporter for Commercial Observer and managing editor of New York YIMBY.,matched Vital City bio keywords
Renae Reynolds,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/reynolds-renae/,"is the executive director of the Tri-State Transportation Campaign, a nonprofit advocacy organization dedicated to advancing sustainable and equitable transportation to reduce climate emissions and increase accessibility and mobility options.",matched Vital City bio keywords
Renée Blake,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/blake-renee/,is an associate professor in the departments of linguistics and social and cultural analysis at New York University.,matched Vital City bio keywords
Rich Buery,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/buery-rich/,"is the CEO of Robin Hood, one of the nation's leading anti-poverty organizations.",matched Vital City bio keywords
Rich Leimsider,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/leimsider-rich/,is the entrepreneur-in-residence at the Fund for the City of New York and the director of the AI for Nonprofits Sprint.,matched Vital City bio keywords
Richard Briffault,1,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/briffault-richard/,"is a professor of law at Columbia Law School, where he researches, writes and teaches state and local government law.",matched Vital City bio keywords
Richard Buery Jr.,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/buery-richard-jr/,is the CEO of Robin Hood.,matched Vital City bio keywords
Richard Florida,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/florida-richard/,"is a visiting professor at Vanderbilt University, professor at the University of Toronto and distinguished fellow with The Kresge Foundation.",matched Vital City bio keywords
Richard Hahn,1,planner/policy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/hahn-richard/,is a senior policy analyst at the Niskanen Center.,matched Vital City bio keywords
Richard Hofstadter,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/hofstadter-richard/,"is the DeWitt Clinton Professor of American History at Columbia, where he was faculty from 1946-1970. He wrote seminal works on American political and intellectual history.",matched Vital City bio keywords
Richard J. Tofel,1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/tofel-richard-j/,is the former president of ProPublica and assistant publisher of the Wall Street Journal. He is the author of the Second Rough Draft newsletter.,matched Vital City bio keywords
Richard Kahlenberg,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/kahlenberg-richard/,"is a senior fellow at the Progressive Policy Institute and the author of ""Excluded: How Snob Zoning, NIMBYism, and Class Bias Build the Walls We Don’t See.""",bio present but no rule hit
Richard McGahey,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/mcgahey-richard/,"is a senior fellow at the Schwartz Institute on Race, Power and Political Economy and the author of ""Unequal Cities.""",bio present but no rule hit
Richard Schragger,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/schragger-richard/,"is the Walter L. Brown Professor at the University of Virginia School of Law and the author of ""City Power: Urban Governance in a Global Age.""",matched Vital City bio keywords
Richard Steier,1,journalist/media,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/steier-richard/,"is the former editor of The Chief-Leader, a weekly newspaper focused on municipal government and labor unions.",matched Vital City bio keywords
Rob English,1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/english-rob/,is the senior organizer for Metro IAF affiliates in Brooklyn and Queens and staff coordinator of Metro IAF citywide strategies.,matched Vital City bio keywords
Robert Carroll,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/carroll-robert/,is a New York State Assembly member.,bio present but no rule hit
Robert Gordon,1,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/gordon-robert/,is with the Recoding America Fund to build state capacity. He worked at the NYC Department of Education under Mayor Bloomberg and served as deputy assistant to the president in the Biden administration.,matched Vital City bio keywords
Robert J. Sampson,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/sampson-robert-j/,,no Vital City bio
Robert J. Spitzer,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/spitzer-robert-j/,is distinguished service professor of political science emeritus at SUNY Cortland. He is the author of multiple books on gun policy and related topics.,matched Vital City bio keywords
Robert Joyce,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/robert/,is Abundance New York's senior policy advisor.,bio present but no rule hit
Robert Pondiscio,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/pondiscio-robert/,"is a senior fellow at the American Enterprise Institute (AEI) and an affiliate of AEI’s James Q. Wilson Program in K-12 Education Studies, where he focuses on K-12 education, curriculum, teaching, school choice and charter schooling.",bio present but no rule hit
Robin Goldstein,1,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/goldstein-robin/,"is director of the Cannabis Economics Group and an economist in the Department of Agricultural and Resource Economics at the University of California, Davis. He co-wrote the book ""Can Legal Weed Win? The Blunt Realities of Cannabis Economics.""",matched Vital City bio keywords
Rod K. Brunson,1,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/brunson-rod-k/,is a professor in the Department of Criminology and Criminal Justice at the University of Maryland.  He is also a fellow of the American Society of Criminology.,matched Vital City bio keywords
Rosanna Smart,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/smart-rosanna/,is a senior economist at RAND and codirector of the RAND Drug Policy Research Center and RAND Gun Policy in America initiative. She was selected as the 2025 Mark Kleiman Memorial Lecturer.,matched Vital City bio keywords
Ross Barkan,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/barkan-ross/,is a writer from New York City.,matched Vital City bio keywords
Sachi Takahashi-Rial,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/sachi-takahashi-rial/,is an advocate for local civic engagement. She writes a substack called NYC Politics 101 and formerly served on Manhattan Community Board 5.,bio present but no rule hit
Sam Roberts,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/roberts-sam/,"is an obituaries reporter for The New York Times, where he has worked since 1983. He served as urban affairs correspondent from 2005 to 2015 and is author of works on New York history.",matched Vital City bio keywords
Samantha J. Simon,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/simon-samantha-j/,"is a professor of sociology at The University of Arizona and an expert on the police, gender, race and organizational inequality. She is the author of ""Before the Badge: How Academy Training Shapes Police Violence.""",matched Vital City bio keywords
Samantha Plummer,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/plummer-samantha/,"is a sociologist and associate research scholar at the Columbia University Justice Lab studying punishment, inequality and gender.",matched Vital City bio keywords
Sara Whaley,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/whaley-sara/,is a senior research associate at Johns Hopkins Bloomberg School of Public Health.,bio present but no rule hit
Sarah Feinberg,1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/feinberg-sarah/,"is an appointee of then-Gov. Andrew Cuomo, served as the interim president of New York City Transit, as an MTA board member and a safety regulator for the U.S. rail system during the Obama administration.",matched Vital City bio keywords
Sarah M. Kaufman,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/kaufman-sarah-m/,is the director of the NYU Rudin Center for Transportation Policy and Management. She is also an assistant professor at the NYU Robert F. Wagner School of Public Service.,matched Vital City bio keywords
Sarah Picard,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/picard-sarah/,is the director of the Center for Criminal Justice Research at MDRC; her work focuses on systemic problems in criminal justice and the translation of research evidence to practice in the service of real-world problem solving.,bio present but no rule hit
Sasha Blair-Goldensohn,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/blair-goldensohn-sasha/,"is a leader of Google Maps disability inclusion projects, helping people worldwide find accessible places, transit and walking routes. He is also a disability rights activist with the Elevator Action Group.",bio present but no rule hit
Satyam Khanna,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/khanna-satyam/,is a former senior official at the U.S. Securities and Exchange Commission and U.S. Environmental Protection Agency.,matched Vital City bio keywords
Scarlet Neath,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/neath-scarlet/,is the senior advisor for reimagining and reform at the Policing Project at the NYU School of Law.,bio present but no rule hit
Sebastian Galiani,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/galiani-sebastian/,is Mancur Olson Professor of Economics at the University of Maryland.,matched Vital City bio keywords
Seth A. Williams,1,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/williams-seth-a/,is a postdoctoral fellow in the department of sociology and Baker Institute Center for Health and Biosciences at Rice University.,matched Vital City bio keywords
Shael Polakow-Suransky,1,government/public sector,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/polakow-suransky-shael/,is the president of Bank Street College of Education and a former New York City Department of Education deputy chancellor.,matched Vital City bio keywords
Shams DaBaron,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/dabaron-shams/,"is also known as “Da Homeless Hero.” He is a housing rights advocate, policy reformer and real estate developer.",bio present but no rule hit
Shanta Thake,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/thake-shanta/,is executive vice president and Ehrenkranz Chief Artistic Officer of Lincoln Center for the Performing Arts.,matched Vital City bio keywords
Sherry Glied,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/glied-sherry/,is dean and professor of public service at NYU’s Wagner School of Public Service.,matched Vital City bio keywords
Stacy Torres,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/torres-stacy/,"is an assistant professor of sociology at the University of California, San Francisco and author of ""At Home in the City: Growing Old in Urban America.""",matched Vital City bio keywords
Stephen Eide,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/eide-stephen/,"is a senior fellow at the Manhattan Institute, a contributing editor of City Journal, and the author of ""Homelessness in America.""",matched Vital City bio keywords
Stephen Goldsmith,1,government/public sector,academic; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/goldsmith-stephen/,"is the Derek Bok Professor of Urban Policy at Harvard’s Kennedy School of Government, and was formerly a prosecutor and mayor in Indianapolis, and deputy mayor of New York City.",matched Vital City bio keywords
Stephen Hargarten,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/hargarten-stephen/,"is an American emergency physician, gun violence researcher and professor at the Medical College of Wisconsin in Milwaukee.",matched Vital City bio keywords
Stephen Nessen,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/nessen-stephen/,"is a transit reporter at WNYC Radio and Gothamist, and co-author of the On the Way weekly newsletter.",matched Vital City bio keywords
Steven Belenko,1,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/belenko-steven/,is a professor in the Department of Criminal Justice at Temple University. He has conducted extensive research on drug courts and other treatment interventions for people in the criminal legal system.,matched Vital City bio keywords
Steven M. Cohen,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/cohen-steven-m/,is a partner in Blue Raven LLP. He served in the Cuomo administration as secretary to the governor and chair of Empire State Development. He teaches at New York Law School.,matched Vital City bio keywords
Stuart O'Brien,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/stuart/,,no Vital City bio
Sulin Carling,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/carling-sulin/,"is a principal at HR&A Advisors, an economic development and public policy consulting firm, where she works with clients on place-based economic development.",bio present but no rule hit
Suma Mandel,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mandel-suma/,is a partner in Blue Raven LLP. She served as Chief Administrative Office of the Gateway Development Corporation and was general counsel of the Brooklyn Bridge Park Corporation.,matched Vital City bio keywords
Susan Herman,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/herman-susan/,"is former deputy commissioner for collaborative policing at the NYPD and author of ""Parallel Justice for Victims of Crime.""",matched Vital City bio keywords
Synøve N. Andersen,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/andersen-synove-n/,is an associate professor of sociology at the University of Oslo and a fellow in the Center for Public Policy at Drexel University. She is the co-principal investigator of the Scandinavian Prison Project.,matched Vital City bio keywords
Tamara Greenfield,1,government/public sector,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/greenfield-tamara/,is an independent consultant who served as the deputy executive director of the Mayor's Action Plan for Neighborhood Safety (MAP) in New York City from 2018 to 2022.,matched Vital City bio keywords
Terrence D. Walton,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/walton-terrence-d/,"is the incoming executive director of NAADAC, the Association for Addiction Professionals.",matched Vital City bio keywords
Terry Golway,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/golway-terry/,"is the author of several books, including ""Machine Made: Tammany Hall and the Creation of Modern American Politics."" He teaches U.S. history and politics at the College of Staten Island.",bio present but no rule hit
Theodore Roosevelt IV,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/roosevelt-theodore-iv/,is a board member of the Center for Climate and Energy Solutions and trustee of The Climate Reality Project. He is a member of the governing council of The Wilderness Society.,bio present but no rule hit
Thomas Abt,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/abt-thomas/,"is an associate research professor at the University of Maryland, founding director of its Center for the Study and Practice of Violence Reduction, and a senior fellow at the Council on Criminal Justice.",matched Vital City bio keywords
Thomas Mellins,1,artist/culture,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mellins-thomas/,"is an architectural historian and exhibition curator focusing on New York City’s built environment. He teaches at Columbia, CUNY and the University of Texas’ UTNY program.",matched Vital City bio keywords
Thomas de Monchaux,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/de-monchaux-thomas/,"is the architecture critic for N+1. His writing has appeared in The New Yorker, The New York Review of Architecture, Architectural Record and other publications.",matched Vital City bio keywords
Tim Tompkins,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/tompkins-tim/,"is an NYU Marron Institute fellow, where he leads the Sustaining Places Initiative.",bio present but no rule hit
Timothy Ittner,1,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/ittner-timothy/,"is a Ph.D. candidate in the department of sociology at Columbia University, where he researches poverty, incarceration and inequality.",matched Vital City bio keywords
Tracy Palandjian,1,business/finance,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/palandjian-tracy/,"is the CEO and co-founder of Social Finance, a national nonprofit and registered investment advisor.",matched Vital City bio keywords
Vincent Cannato,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/cannato-vincent/,"is an associate professor of history at the University of Massachusetts Boston, where he teaches courses on New York City history. He is the author of “The Ungovernable City: John Lindsay and His Struggle to Save New York.""",matched Vital City bio keywords
Virginia Barber Rioja,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/barber-rioja-virginia/,is a psychologist and senior clinical policy advisor for the Center for Justice Innovation.,bio present but no rule hit
Wade Graham,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/graham-wade/,"ia author of ""Dream Cities: Seven Urban Ideas That Shape the World,"" and a historian and landscape designer in Los Angeles.",matched Vital City bio keywords
Wesley G. Skogan,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/skogan-wesley-g/,"is professor emeritus in the Institute for Policy Research at Northwestern University, where he researches crime, policing and the role of the public and community organizations in crime prevention and police reform.",matched Vital City bio keywords
Zachary Carter,1,attorney/lawyer,,high,vital_city_bio,https://www.vitalcitynyc.org/author/carter-zachary/,is currently chairman of the board of the Legal Aid Society of New York City. He previously served as corporation counsel for the City of New York from 2014 to 2019.,matched Vital City bio keywords
Zakhary Mallett,1,academic,planner/policy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/mallett-zakhary/,"is an assistant professor of community and regional planning at Alabama A&M University. His research focuses on transportation finance, travel behavior and land use.",matched Vital City bio keywords
